Student,Region,Campus,Program,Starting/Readmitted Cohort,Graduating Cohort,Testing Cohort,Attempt Number,Result
1,Hudson Valley Region,SCH,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
2,Greater Boston Region,WOR,ADN.BRDG.AAS,2022FAQ,2024SPQ,2024SPQ,1,1
3,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
4,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SPQ,1,1
5,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
6,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024SPQ,2024SUQ,1,1
7,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022FAQ,2024FAQ,2024FAQ,1,1
8,Hudson Valley Region,KIN,ADN.2YR.AAS,2024SPQ,2025FAQ,2025WIQ,1,1
9,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
10,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022SPQ,2023WIQ,2024SPQ,1,1
11,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2022WIQ,2024SPQ,2024SUQ,1,1
12,Lehigh Valley Region,REA,ADN.2YR.AS,2022WIQ,2024SUQ,2024FAQ,1,1
13,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
14,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SPQ,2025FAQ,2025WIQ,1,0
14,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SPQ,2025FAQ,2025WIQ,2,1
15,Hudson Valley Region,ALB,ADN.BRDG.AS,2024WIQ,2025FAQ,2025FAQ,1,1
16,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SUQ,2024FAQ,2025SUQ,1,0
17,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SUQ,2025SPQ,2025SUQ,1,0
17,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SUQ,2025SPQ,2025FAQ,2,1
18,Greater Boston Region,WOR,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
19,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023FAQ,2024WIQ,2025SPQ,1,1
20,Hudson Valley Region,ALB,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
