league,map,division,centroid_lat,centroid_lon,same_as_actual,reuse_town,draft_nearest_town,population_2020_FILL,fun_fact_FILL,teams
MLB,B,NL/d0,35.55200,-114.96940,NL West,"Boulder City, Nevada","Boulder City, Nevada",,,"Diamondbacks,Dodgers,Giants,Padres,Rockies"
MLB,B,NL/d1,39.31700,-86.95900,NEW,,"Middlebury, Indiana",,,"Braves,Brewers,Cardinals,Cubs,Reds"
MLB,B,NL/d2,37.15220,-77.24900,NEW,,"Prince George, Virginia",,,"Marlins,Mets,Nationals,Phillies,Pirates"
MLB,B,AL/d0,35.99888,-109.56440,AL West,"Chinle, Arizona","Chinle, Arizona",,,"Angels,Astros,Athletics,Mariners,Rangers"
MLB,B,AL/d1,39.19400,-88.21900,NEW,,"Greenup, Illinois",,,"Rays,Royals,Tigers,Twins,White Sox"
MLB,B,AL/d2,41.51920,-76.54380,NEW,,"Laporte, Pennsylvania",,,"Blue Jays,Guardians,Orioles,Red Sox,Yankees"
MLB,C,West/d0,34.89168,-118.16780,NEW,,"Rosamond, California",,,"Angels,Athletics,Dodgers,Giants,Padres"
MLB,C,West/d1,40.96500,-105.43040,NEW,,"Laramie, Wyoming",,,"Diamondbacks,Mariners,Rockies,Royals,Twins"
MLB,C,West/d2,29.98800,-87.95560,NEW,,"Dauphin Island, Alabama",,,"Astros,Braves,Marlins,Rangers,Rays"
MLB,C,East/d0,40.90500,-87.59220,NEW,,"Sheldon, Illinois",,,"Brewers,Cardinals,Cubs,Reds,White Sox"
MLB,C,East/d1,41.35920,-80.22720,NEW,,"Stoneboro, Pennsylvania",,,"Blue Jays,Guardians,Nationals,Pirates,Tigers"
MLB,C,East/d2,40.62440,-74.13140,NEW,,"Bayonne, New Jersey",,,"Mets,Orioles,Phillies,Red Sox,Yankees"
NFL,B,NFC/d0,38.11975,-118.72600,NFC West,"Hawthorne, Nevada","Hawthorne, Nevada",,,"49ers,Cardinals,Rams,Seahawks"
NFL,B,NFC/d1,31.10750,-88.51950,NEW,,"Leakesville, Mississippi",,,"Buccaneers,Cowboys,Falcons,Saints"
NFL,B,NFC/d2,43.41925,-87.99575,NFC North,"Newburg, Wisconsin","Newburg, Wisconsin",,,"Bears,Lions,Packers,Vikings"
NFL,B,NFC/d3,38.71225,-76.73975,NEW,,"Croom, Maryland",,,"Commanders,Eagles,Giants,Panthers"
NFL,B,AFC/d0,37.20925,-108.25675,AFC West,"Mancos, Colorado","Mancos, Colorado",,,"Broncos,Chargers,Chiefs,Raiders"
NFL,B,AFC/d1,30.53325,-86.01450,NEW,,"Freeport, Florida",,,"Dolphins,Jaguars,Texans,Titans"
NFL,B,AFC/d2,40.20200,-83.09900,NEW,,"Powell, Ohio",,,"Bengals,Browns,Colts,Steelers"
NFL,B,AFC/d3,41.23925,-75.18700,NEW,,"Mountainhome, Pennsylvania",,,"Bills,Jets,Patriots,Ravens"
NFL,C,West/d0,35.35000,-118.45800,NEW,,"Golden Hills, California",,,"49ers,Chargers,Raiders,Rams"
NFL,C,West/d1,41.46025,-108.21825,NEW,,"Rock Springs, Wyoming",,,"Broncos,Cardinals,Seahawks,Vikings"
NFL,C,West/d2,32.85825,-94.26725,NEW,,"Jefferson, Texas",,,"Chiefs,Cowboys,Saints,Texans"
NFL,C,West/d3,42.55225,-85.10625,NEW,,"Nashville, Michigan",,,"Bears,Browns,Lions,Packers"
NFL,C,East/d0,37.56175,-84.57600,NEW,,"Lancaster, Kentucky",,,"Bengals,Colts,Panthers,Titans"
NFL,C,East/d1,29.50325,-82.19500,NEW,,"Citra, Florida",,,"Buccaneers,Dolphins,Falcons,Jaguars"
NFL,C,East/d2,40.35175,-78.07250,NEW,,"McConnellstown, Pennsylvania",,,"Bills,Commanders,Ravens,Steelers"
NFL,C,East/d3,40.90500,-73.64500,NEW,,"Glen Cove, New York",,,"Eagles,Giants,Jets,Patriots"
NHL,B,West/d0,42.84650,-118.27950,Pacific,"Burns, Oregon","Burns, Oregon",,,"Canucks,Ducks,Flames,Golden Knights,Kings,Kraken,Oilers,Sharks"
NHL,B,West/d1,40.60150,-96.07738,Central,"Syracuse, Nebraska","Syracuse, Nebraska",,,"Avalanche,Blackhawks,Blues,Jets,Mammoth,Predators,Stars,Wild"
NHL,B,East/d0,36.80325,-80.43088,NEW,,"Floyd, Virginia",,,"Blue Jackets,Capitals,Hurricanes,Lightning,Panthers,Penguins,Red Wings,Sabres"
NHL,B,East/d1,42.36225,-74.62450,NEW,,"Stamford, New York",,,"Bruins,Canadiens,Devils,Flyers,Islanders,Maple Leafs,Rangers,Senators"
NHL,C,West/d0,42.84650,-118.27950,Pacific,"Burns, Oregon","Burns, Oregon",,,"Canucks,Ducks,Flames,Golden Knights,Kings,Kraken,Oilers,Sharks"
NHL,C,West/d1,40.60150,-96.07738,Central,"Syracuse, Nebraska","Syracuse, Nebraska",,,"Avalanche,Blackhawks,Blues,Jets,Mammoth,Predators,Stars,Wild"
NHL,C,East/d0,36.80325,-80.43088,NEW,,"Floyd, Virginia",,,"Blue Jackets,Capitals,Hurricanes,Lightning,Panthers,Penguins,Red Wings,Sabres"
NHL,C,East/d1,42.36225,-74.62450,NEW,,"Stamford, New York",,,"Bruins,Canadiens,Devils,Flyers,Islanders,Maple Leafs,Rangers,Senators"
MLS,B,West/d0,38.45280,-108.57447,West Conference,,"Delta, Colorado",,,"Austin FC,Colorado Rapids,FC Dallas,Houston Dynamo,LA Galaxy,LAFC,Minnesota United,Portland Timbers,Real Salt Lake,San Diego FC,San Jose,Seattle Sounders,Sporting KC,St. Louis City,Vancouver"
MLS,B,East/d0,38.15607,-79.56180,East Conference,,"Warm Springs, Virginia",,,"Atlanta United,CF Montreal,Charlotte FC,Chicago Fire,Columbus Crew,DC United,FC Cincinnati,Inter Miami,NY Red Bulls,NYCFC,Nashville SC,New England,Orlando City,Philadelphia Union,Toronto FC"
MLS,C,West/West,38.45280,-108.57447,West Conference,,"Delta, Colorado",,,"Austin FC,Colorado Rapids,FC Dallas,Houston Dynamo,LA Galaxy,LAFC,Minnesota United,Portland Timbers,Real Salt Lake,San Diego FC,San Jose,Seattle Sounders,Sporting KC,St. Louis City,Vancouver"
